dataset,epoch,question_type,question_class_size,model,loss_function,train_loss,train_acc,test_acc
Cifar10,63,Which_one,1,MLP,MAE_LOSS,1.331932796,0.32996,0.332
Cifar10,64,Which_one,1,MLP,MAE_LOSS,1.360095929,0.32468,0.3194
Cifar10,65,Which_one,1,MLP,MAE_LOSS,1.341864938,0.31308,0.3122
Cifar10,66,Which_one,1,MLP,MAE_LOSS,1.330258306,0.33822,0.3378
Cifar10,67,Which_one,1,MLP,MAE_LOSS,1.334732628,0.32456,0.329
Cifar10,68,Which_one,1,MLP,MAE_LOSS,1.340886994,0.33156,0.3358
Cifar10,69,Which_one,1,MLP,MAE_LOSS,1.319334292,0.33876,0.335
Cifar10,70,Which_one,1,MLP,MAE_LOSS,1.386186338,0.3224,0.3245
Cifar10,71,Which_one,1,MLP,MAE_LOSS,1.330973148,0.32554,0.3225
Cifar10,72,Which_one,1,MLP,MAE_LOSS,1.334577105,0.33046,0.3303
Cifar10,73,Which_one,1,MLP,MAE_LOSS,1.361744438,0.31504,0.312
Cifar10,74,Which_one,1,MLP,MAE_LOSS,1.381078886,0.31746,0.3199
Cifar10,75,Which_one,1,MLP,MAE_LOSS,1.367248126,0.33274,0.3326
Cifar10,76,Which_one,1,MLP,MAE_LOSS,1.341344186,0.31728,0.3144
Cifar10,77,Which_one,1,MLP,MAE_LOSS,1.439826104,0.2761,0.2854
Cifar10,78,Which_one,1,MLP,MAE_LOSS,1.451096537,0.3039,0.3064
Cifar10,79,Which_one,1,MLP,MAE_LOSS,1.396002453,0.3127,0.3074
Cifar10,80,Which_one,1,MLP,MAE_LOSS,1.363535702,0.32916,0.3243
Cifar10,81,Which_one,1,MLP,MAE_LOSS,1.360448126,0.31154,0.3088
Cifar10,82,Which_one,1,MLP,MAE_LOSS,1.344576715,0.30654,0.3076
Cifar10,83,Which_one,1,MLP,MAE_LOSS,1.377468001,0.30324,0.302
Cifar10,84,Which_one,1,MLP,MAE_LOSS,1.428716199,0.26762,0.2614
Cifar10,85,Which_one,1,MLP,MAE_LOSS,1.368406572,0.32828,0.3254
Cifar10,86,Which_one,1,MLP,MAE_LOSS,1.411657944,0.28518,0.2831
Cifar10,87,Which_one,1,MLP,MAE_LOSS,1.44676179,0.29602,0.2921
Cifar10,88,Which_one,1,MLP,MAE_LOSS,1.386932074,0.31872,0.3159
Cifar10,89,Which_one,1,MLP,MAE_LOSS,1.374152565,0.30726,0.3087
Cifar10,90,Which_one,1,MLP,MAE_LOSS,1.371092704,0.31596,0.3138
Cifar10,91,Which_one,1,MLP,MAE_LOSS,1.359194168,0.3007,0.3037
Cifar10,92,Which_one,1,MLP,MAE_LOSS,1.3626125,0.30854,0.304
Cifar10,93,Which_one,1,MLP,MAE_LOSS,1.399625387,0.30842,0.3131
Cifar10,94,Which_one,1,MLP,MAE_LOSS,1.354241504,0.3098,0.3117
Cifar10,95,Which_one,1,MLP,MAE_LOSS,1.364118991,0.32126,0.3215
Cifar10,96,Which_one,1,MLP,MAE_LOSS,1.330441437,0.31124,0.3189
Cifar10,97,Which_one,1,MLP,MAE_LOSS,1.366900942,0.31882,0.3215
Cifar10,98,Which_one,1,MLP,MAE_LOSS,1.347401097,0.31146,0.3102
Cifar10,99,Which_one,1,MLP,MAE_LOSS,1.359565722,0.31936,0.3159
Cifar10,100,Which_one,1,MLP,MAE_LOSS,1.335504038,0.33434,0.336
Cifar10,101,Which_one,1,MLP,MAE_LOSS,1.305397545,0.32288,0.3243
Cifar10,102,Which_one,1,MLP,MAE_LOSS,1.314814654,0.31082,0.309
Cifar10,103,Which_one,1,MLP,MAE_LOSS,1.373752886,0.30816,0.3127
Cifar10,104,Which_one,1,MLP,MAE_LOSS,1.378138591,0.30914,0.3041
Cifar10,105,Which_one,1,MLP,MAE_LOSS,1.345322764,0.3293,0.3244
Cifar10,106,Which_one,1,MLP,MAE_LOSS,1.316079044,0.33362,0.3356
Cifar10,107,Which_one,1,MLP,MAE_LOSS,1.313745195,0.31056,0.3077
Cifar10,108,Which_one,1,MLP,MAE_LOSS,1.324207537,0.30426,0.3074
Cifar10,109,Which_one,1,MLP,MAE_LOSS,1.360217293,0.32018,0.3192
Cifar10,110,Which_one,1,MLP,MAE_LOSS,1.337662513,0.32128,0.3226
Cifar10,111,Which_one,1,MLP,MAE_LOSS,1.3473438,0.31334,0.3136
Cifar10,112,Which_one,1,MLP,MAE_LOSS,1.311440122,0.33082,0.3314
Cifar10,113,Which_one,1,MLP,MAE_LOSS,1.289329144,0.33414,0.3331
Cifar10,114,Which_one,1,MLP,MAE_LOSS,1.293606935,0.33684,0.3393
Cifar10,115,Which_one,1,MLP,MAE_LOSS,1.298636621,0.3372,0.3354
Cifar10,116,Which_one,1,MLP,MAE_LOSS,1.320313967,0.33608,0.3328
Cifar10,117,Which_one,1,MLP,MAE_LOSS,1.314452407,0.3363,0.3343
Cifar10,118,Which_one,1,MLP,MAE_LOSS,1.302320199,0.32134,0.327
Cifar10,119,Which_one,1,MLP,MAE_LOSS,1.291005355,0.34238,0.3421
Cifar10,120,Which_one,1,MLP,MAE_LOSS,1.306762722,0.33488,0.3339
Cifar10,121,Which_one,1,MLP,MAE_LOSS,1.28986205,0.32964,0.3335
Cifar10,122,Which_one,1,MLP,MAE_LOSS,1.300591996,0.3348,0.3357
Cifar10,123,Which_one,1,MLP,MAE_LOSS,1.313278064,0.33648,0.3363
Cifar10,124,Which_one,1,MLP,MAE_LOSS,1.291952956,0.34436,0.3443
Cifar10,125,Which_one,1,MLP,MAE_LOSS,1.298801749,0.32736,0.3316
Cifar10,126,Which_one,1,MLP,MAE_LOSS,1.316286533,0.34448,0.3444
Cifar10,127,Which_one,1,MLP,MAE_LOSS,1.273915205,0.34472,0.3397
Cifar10,128,Which_one,1,MLP,MAE_LOSS,1.28884044,0.34406,0.3416
Cifar10,129,Which_one,1,MLP,MAE_LOSS,1.303660569,0.3339,0.3306
Cifar10,130,Which_one,1,MLP,MAE_LOSS,1.318913683,0.32028,0.3177
Cifar10,131,Which_one,1,MLP,MAE_LOSS,1.340513166,0.33724,0.3397
Cifar10,132,Which_one,1,MLP,MAE_LOSS,1.306101341,0.34398,0.3441
Cifar10,133,Which_one,1,MLP,MAE_LOSS,1.330583733,0.32608,0.3249
Cifar10,134,Which_one,1,MLP,MAE_LOSS,1.35213224,0.29684,0.2994
Cifar10,135,Which_one,1,MLP,MAE_LOSS,1.368103841,0.32162,0.3221
Cifar10,136,Which_one,1,MLP,MAE_LOSS,1.336124053,0.31818,0.3208
Cifar10,137,Which_one,1,MLP,MAE_LOSS,1.325075892,0.32916,0.33
Cifar10,138,Which_one,1,MLP,MAE_LOSS,1.307528671,0.34486,0.3431
Cifar10,139,Which_one,1,MLP,MAE_LOSS,1.280801144,0.33224,0.3312
Cifar10,140,Which_one,1,MLP,MAE_LOSS,1.323413765,0.30836,0.3034
Cifar10,141,Which_one,1,MLP,MAE_LOSS,1.335303715,0.33214,0.3294
