dataset,epoch,question_type,question_class_size,model,loss_function,train_loss,train_acc,test_acc,label_size_i,label_size_comp,label_size_cand
MNIST,48,Which_one,1,MLP,MAE_LOSS,-0.33208482787013055,0.9115,0.9087,1049.0,8951.0,
MNIST,49,Which_one,1,MLP,MAE_LOSS,-0.3392108500003815,0.9119,0.9092,1049.0,8951.0,
MNIST,50,Which_one,1,MLP,MAE_LOSS,-0.3807158127427101,0.9125,0.9085,1049.0,8951.0,
MNIST,51,Which_one,1,MLP,MAE_LOSS,-0.36747183427214625,0.912,0.9093,1049.0,8951.0,
MNIST,52,Which_one,1,MLP,MAE_LOSS,-0.32563709169626237,0.9128,0.9091,1049.0,8951.0,
MNIST,53,Which_one,1,MLP,MAE_LOSS,-0.36803125590085983,0.9113,0.9105,1049.0,8951.0,
MNIST,54,Which_one,1,MLP,MAE_LOSS,-0.38021874278783796,0.9126,0.9095,1049.0,8951.0,
MNIST,55,Which_one,1,MLP,MAE_LOSS,-0.35357524156570436,0.9125,0.9098,1049.0,8951.0,
MNIST,56,Which_one,1,MLP,MAE_LOSS,-0.3468354020267725,0.9124,0.9111,1049.0,8951.0,
MNIST,57,Which_one,1,MLP,MAE_LOSS,-0.36022794917225837,0.9129,0.9102,1049.0,8951.0,
MNIST,58,Which_one,1,MLP,MAE_LOSS,-0.37584499940276145,0.9133,0.9103,1049.0,8951.0,
MNIST,59,Which_one,1,MLP,MAE_LOSS,-0.35547431036829946,0.9144,0.9096,1049.0,8951.0,
MNIST,60,Which_one,1,MLP,MAE_LOSS,-0.3356775552034378,0.9138,0.9106,1049.0,8951.0,
MNIST,61,Which_one,1,MLP,MAE_LOSS,-0.36445321440696715,0.9144,0.909,1049.0,8951.0,
MNIST,62,Which_one,1,MLP,MAE_LOSS,-0.330080109834671,0.914,0.9098,1049.0,8951.0,
MNIST,63,Which_one,1,MLP,MAE_LOSS,-0.36464330852031707,0.9143,0.9105,1049.0,8951.0,
MNIST,64,Which_one,1,MLP,MAE_LOSS,-0.3647440616041422,0.9141,0.9103,1049.0,8951.0,
MNIST,65,Which_one,1,MLP,MAE_LOSS,-0.36293165385723114,0.9148,0.9108,1049.0,8951.0,
MNIST,66,Which_one,1,MLP,MAE_LOSS,-0.3095471397042274,0.9152,0.9117,1049.0,8951.0,
MNIST,67,Which_one,1,MLP,MAE_LOSS,-0.47242628782987595,0.9141,0.9103,1049.0,8951.0,
MNIST,68,Which_one,1,MLP,MAE_LOSS,-0.3708696477115154,0.9159,0.911,1049.0,8951.0,
MNIST,69,Which_one,1,MLP,MAE_LOSS,-0.330507742613554,0.9162,0.9116,1049.0,8951.0,
MNIST,70,Which_one,1,MLP,MAE_LOSS,-0.3847733922302723,0.9141,0.9106,1049.0,8951.0,
MNIST,71,Which_one,1,MLP,MAE_LOSS,-0.38496488109231,0.9153,0.913,1049.0,8951.0,
MNIST,72,Which_one,1,MLP,MAE_LOSS,-0.39936271607875823,0.9157,0.912,1049.0,8951.0,
MNIST,73,Which_one,1,MLP,MAE_LOSS,-0.42711690738797187,0.9162,0.9124,1049.0,8951.0,
MNIST,74,Which_one,1,MLP,MAE_LOSS,-0.37203839272260664,0.9166,0.9114,1049.0,8951.0,
MNIST,75,Which_one,1,MLP,MAE_LOSS,-0.3513662118464708,0.9154,0.9107,1049.0,8951.0,
MNIST,76,Which_one,1,MLP,MAE_LOSS,-0.3244151398539543,0.9161,0.9116,1049.0,8951.0,
MNIST,77,Which_one,1,MLP,MAE_LOSS,-0.3807426422834396,0.9156,0.9115,1049.0,8951.0,
MNIST,78,Which_one,1,MLP,MAE_LOSS,-0.3111273072659969,0.9164,0.9119,1049.0,8951.0,
MNIST,79,Which_one,1,MLP,MAE_LOSS,-0.3111376129090786,0.9163,0.9121,1049.0,8951.0,
MNIST,80,Which_one,1,MLP,MAE_LOSS,-0.386978979408741,0.9164,0.9115,1049.0,8951.0,
